B,この患者さんの主訴として手足が動きにくく歩くことができないということである。この患者さんの動作観察として立ち上がりが手すりがあれば可能、トランスファーが柵があれば車椅子からベッドへの移乗が可能であり、ベッドから車椅子は介助・監視レベルである。この二つの基本動作に注目して問題点を挙げる。まず立ち上がりから考える。立ち上がりが不安定な原因について考えられる原因として下肢の筋力、片側の筋緊張亢進、高次脳機能障害が考えられる。高次脳機能の理由について半側空間無視、失認など立ちにくくなる要因がある(9)がこの患者さんのデータから高次脳機能検査が失語のみのため検査が必要だと考える。次に筋力低下についてだがこれもMMTの評価項目がないため具体的な数値はわからないが、OTからの情報で、廃用手であることから下肢も同様の結果になる可能性も十分に考えられる。最後に片側の筋緊張について、この患者さんは病的反射の項目で全て陽性であり、アシュワースも2で亢進している。(2)(8)片側の筋緊張が更新していると下肢の安定性がないため手すりがないと持てないのだと考える。同様にベッド間の移乗も下肢の不安定性が原因で介助と見守りが必要だと考える。以上のことか片側の筋緊張亢進を主な問題点として移乗動作の練習を行いある程度軽介助、自立できるようになってから歩行練習を開始すればいいのではないかと考える。
A+,本症例は1ヶ月前に左中大脳動脈梗塞を発症された75歳女性である。合併症は高血圧であるが、投薬によりコントロールされている。既往歴はない。主訴は、手足が動きにくく、歩けないとのこと。現在発症から1ヶ月が経っており、上肢の麻痺が強く、OTからの情報だと廃用手であることから、重篤な麻痺が起きていると考えられる。まず、心身機能面から統合していく。この患者の問題点は、重篤な片麻痺が第一と考えるべきだろう。検査データから、BRSが上肢・手指ともにⅡで、下肢がⅢであり、上肢・手指は連合反応が見られ、下肢は共同運動が見られるステージである。次に、深部腱反射は右側上下肢が亢進しており、Ashwarthスケールが上下肢ともに2、病的反射も全て陽性であることから、錐体路傷害が出現していると考える。さらに、感覚検査を見てみると、右半身の表在・深部ともに鈍麻レベルであることから、感覚麻痺も出現していることがわかる。トランスファーは手すりがあれば車椅子→ベッドは可能であるが、ベッド→車椅子は介助、監視レベルであることから、上記の問題点に踏まえ、座位保持が、困難であると考える。心身機能における問題点はデータのようになる。次に、活動について見ていく。この患者さんの主な問題点はADL検査より、更衣、入浴、トイレ動作が問題であると考える。まず、これらの動作の共通する動きは、ズボンを脱ぐ動作である。そのためには、車椅子で着替えるにせよ、座位のバランス感覚がひつようとなってくる。また、車椅子からのトランスファー能力も必要となるため、下肢の筋緊張、ならびに、片麻痺による運動麻痺は影響されるであろう。また、トランスファーにおいては、家屋環境を見る限り、自宅では車椅子での生活が可能であり、退院後は自宅での生活が可能であるため、まずはトランスファーの機能向上を目指すべきと考える。また、立ち上がりも手すりがあれば可能であるが、自宅において、手すりがついているかは考え難く、手すりなしで、自宅までの歩行能力も必要であるため、立位保持の機能も重要となってくる。よって、活動の問題点はデータのようになる。
A,本症例は約1ヶ月前に左中大脳動脈梗塞を発症した。他部門の情報や検査結果から上肢の麻痺が重篤であるが基本動作においてベッド→車椅子の移乗以外は自立あるいは見守りレベルであることが分かる。一方でADLを見ると、整容以外の動作が介助が必要であり不可能な動作もある。これらはBRSが上肢Ⅱ、手指Ⅱ、下肢Ⅲであることや筋緊張が動作時に亢進(特に下肢が)すること、感覚が鈍麻であることが原因であると考えられる。動作時に、BRSから連合反応や共同運動パターンが出現したり、筋緊張から手足が固くなってしまい動かしにくくなったり、感覚鈍麻よりどのように動いているのか動かせているのかなどがわからないと言った状態であるため様々な動作に影響が出ているのではないかと考える。
A,本症例は左脳卒中動脈梗塞である。脳に血液を回したいため積極的に理学療法を行いたい。本症例患者の主訴として手足が動きにくく、歩けないとのこと。Drからの情報より上肢の麻痺と下肢の筋緊張が強い、MAS上下肢共に2とあるためこれらが原因と考えられる。本患者の年齢は麻痺の回復があるかもしれないため、機能維持を目的とした理学療法が必要であると思われる。特に筋緊張が強いため回復後に可動域制限が起こることが考えられる。STより運動性失語みられるとあるが、こちらからの指示は理解できているため理学療法には支障はほとんど出ないと思うが注意が必要である。感覚は全体的に鈍麻レベルである。次にADLについて、退院後は自宅での生活を想定しているため、ここでの問題点は、更衣・入浴・トイレ動作であると考える。特に入浴は感覚が鈍麻レベルであることから、転倒の可能性が挙げられる。また、BRSが上肢Ⅱであることから体を洗う動作が困難であると考えられる。
B,移乗動作に問題があると考える。自宅での生活を考えると車椅子からベッド、ベットからの車椅子、車椅子からのトイレ、トイレからの車椅子の動作自立が必要であるが、車椅子からベッドは、手すりありで可能、ベッドから車椅子は、介助・監視レベル、トイレは半介助である。筋緊張検査から、動作時に全体的に筋緊張が亢進していることから、動作の動かしにくさがわかる。また、BRST上肢、手指II ・下肢Ⅲから分離運動が不十分であると考えられるため、まずは、分離運動の再獲得を目指すべきである。深部腱反射、病的反射から錐体路障害があることがわかる。また、感覚は、麻痺則の表在、深部感覚が鈍麻レベルであるため、感覚フィードバックの練習が必要である。また、立ち上がり動作が手すりがあれば可能なので、手すりを使いながら起立ー着席動作の反復練習が効果的であると考えてる
B,本症例の患者は、左中大脳動脈梗塞を呈した75歳の女性である。MRIから、出血範囲は広いことが分かる。ブルンストロームが上肢Ⅱ、手指Ⅱ、下肢Ⅲであることから、運動麻痺の出現が認められ、上下肢ともに分離運動を行うことができていない状況である。さらにashworthスケール上下肢ともに2であることから、全可動域において筋緊張が亢進しており、動作時にうまく筋を調節することができず、動かしにくくなってしまっていると考えられる。さらに感覚も上下肢・体幹において、表在、深部ともに鈍麻レベルである。表在感覚が低下していることによって下肢であれば、足底の感覚が鈍くなり、足底が地面についているのかが分かりにくい状態であり恐怖心につながっていることも考えられる。また深部感覚も低下しているため、自分の身体がどこに位置しているのかもわからず、運動が行いにくくなってしまっていることが考えられる。錐体路兆候が現れていることがわかる。このことから患者の主訴である、手足が動きにくく、歩けないという問題点に繋がっている。患者の自宅は車椅子での生活が可能であり、退院後は自宅での生活を希望しているため、トランスファーの練習を行うことが必要である。トランスファーに関しては、現在、手すりがあれば車椅子→ベッドは可能であり、ベッド→車椅子は介助・監視レベルである。ベッドから車椅子への移乗では、移動した際の座面が狭く、的確な場所に座らなければいけないため、上下肢の筋緊張や、運動麻痺が動作をしにくくしてしまっていると考えられる。またトイレ動作においても、トランスファーは半介助とあるので、こちらもトランスファーが自立につながることで、自宅での生活は行いやすくなると考えられる。脳卒中での運動麻痺は、早い段階から動作練習を行うことで改善に繋がるため、筋力増強や、動作練習をたくさん行うことで改善する可能性がおると考えられる。
B,本症例は、75歳女性が2019年9月25日に頭痛が出現し、自宅にて手足の痺れが出現し、救急搬送にて当院を受診した。搬送時意識はあるものの、軽い見当識障害があった。CT所見の結果、上記診断を受け、加療のため入院になった。診断名は、左中大脳動脈梗塞ということだった。主訴から考えると、「手足が動きにくく、歩けない」ということだ。なぜ、手足が動きにくく、歩けないのかについて問題点をまとめる。中大脳動脈梗塞から特徴的症状を予測し、問題を統合する。まず、一つ目に、ブルーンストロームリカバリーステージが挙げられる。上肢Ⅱ.手指II.下肢Ⅲとあり、すべて共同運動が見られ、分離運動が行えていないことがわかる。深部腱反射では、上肢下肢ともに+++の状態でかり、筋の被動性が非常に高く、伸展性か高いことが考えられる。さらに病的反射では、ホフマン反射、トレムナー反射、バランスキー反射共に+であり、錐体路徴候が考えられる。二つ目に、感覚障害を挙げると、右側上下肢、体幹の表在感覚が鈍麻レベルということがわかる。つまり、中枢性の感覚障害ということが考えられる。三つ目に、トランスファーについて挙げる。トイレ、食事のための移動の基本となるもので、トランスファーを獲得することで行動範囲を広範囲にすることができる。四つ目に、左の下肢の筋力低下について挙げる。左側の筋力が十分にあれば、立ち上がり、トランスファーが可能ではないかと考える。右下肢の随意性向上と左下肢の筋力増強により下肢の安定性が向上することでトイレ動作は、自立すると考える。本症例では身体構造の基底核と関連部位の構造によって左上下肢と体幹に問題があると考える。
A+,本症例は発症から約1ヶ月経過した左中大脳動脈梗塞である。本症例の主訴は「手足が動きにくく、歩けない」であるので、手足が動きにくい問題点に着目していく。本症例の特徴的な症状として、BRSは上肢手指がⅡ、下肢がⅢレベルである。深部腱反射は右上下肢ともに+++の状態であるため、筋の被動性は非常に高く、伸展性は低いと推測する。ホフマン反射、トレムナー反射、バビンスキー反射が全て+である。このことから、錐体路徴候を示す所見が多くみられる。感覚検査より、右側上下肢、体幹は表在･深部ともに鈍麻レベルである。このことから、中枢性感覚障害があると推測する。また、高次脳機能障害として運動性失語がみられる。本症例は左中大脳動脈梗塞のため、その他の高次脳機能障害がないか詳しく検査を行う必要がある。以上のことから⑴右側の運動麻痺、⑵右側の中枢性感覚障害が機能的な問題点として挙げられる。そこから心身機能としての問題点として、1.複雑な随意運動の制御、2.運動反射機能、3.身体の片側の筋緊張、4.歩行パターン機能、5.触知覚が挙げられる。これは基本動作･ADL動作から、トランスファーの1部介助、更衣･入浴の介助、歩行のAFO装着で平行棒介助レベルに関与すると考えられる。また、下半身の筋力も問題点として挙げれるが、本症例の検査結果にMMT等の筋力検査の記載がないため、検査を行った上で判断する。本症例は合併症として、高血圧があるので脳出血の発症も視野に入れ、リスク管理を行わないといけない。本症例は発症から約1ヶ月経過しているが、BRSレベルが低いことから回復段階ではあるものの、BRSレベルが向上するかは複雑である。
D,左中大脳動脈梗塞の患者様で、主訴は手足が動かしにくく歩けないである。活動の問題点として、乗り移り(d4200)を選択しました。心身機能の問題点として、触知覚(b1564)複雑な随意運動の制御(b7601)を挙げました。感覚検査では、右上下肢・体幹の表在・深部共に鈍麻レベルとあり、BRSも上肢Ⅱ手指Ⅱ下肢Ⅲです。腱反射も上下肢＋＋＋なので錐体路傷害がみられます。これらの原因として、文献(7)(8)が考えられます。なので文献(10)をするべきである。
B,本症例は左中大脳動脈梗塞であり、深部腱反射は右側じょうかし+++、病的反射+となっており錐体路徴候の特徴がでている。特に上下肢ともに麻痺があり上肢の麻痺が強い。筋緊張は上下肢共に亢進している。感覚も右上下肢体幹鈍麻レベルであり、感覚麻痺も呈している。高次脳機能は失語があるがこちらの指示は通っている。活動ではトランスファーに異常があり、特にベッド→車椅子は介助・監視レベルである。トイレ動作も半介助であり問題となっている。車椅子からベッドへの移動は可能であることから下肢筋力はあまり問題にならないことが考えられる。よって、トランスファーにおいて主な原因として、筋緊張の亢進と感覚障害とBRSTが上肢、手指が2、下肢3であることが考えられる。車椅子への移動はベッドへの移動よりも座る場所が限定されていることにより正確な動作が必要となるが筋緊張が亢進し、下肢BRSTが3であり共同運動が出ているため正確な動作が行えていない。また、感覚麻痺もあるため自分の体がどうなっているのかの判断ができていない。さらに、上肢、手指のBRSTが2であることから手すりを使った支持も難しくなっていると考えられる。
A,本症例は約1ヶ月前に左中大脳動脈梗塞を発症された75歳の女性である。このことから、急性期は過ぎ回復期へと移行していると思われる。よって、検査からもあるように、筋緊張が低下している時期からは脱出して、亢進していることがAshwarthスケールの結果から読み取れる。筋緊張が上がると筋肉は収縮位をとりやすく、脱力しにくい状態になる。よって、麻痺側の下肢において、大きい筋肉である下腿三頭筋の収縮により足関節底屈位をとりやすくなっており、立位時に右下肢の足底面を床に接地させることは困難である可能性があるため、立位を保持するにあたり支持基底面の確保が難しくなり、立位保持が難しいことが可能性として考えられる。また、右側の下肢において表在感覚と深部感覚がともに鈍麻していることから足底の表在感覚や、位置覚が鈍いため荷重をかけることへの不安感や、かけ方が分からなくなってしまうことから左下肢にたよって立位をとろうとするものと考える。なので、左下肢の筋力があれば立位の保持はある程度の安定性が獲得出来ると思われる。
C,中大脳動脈梗塞により重度の運動麻痺がでるとされる。BRST: 上肢Ⅱ、手指Ⅱ、下肢Ⅲより立ち上がり、トランスファーが自立できない要因になっている可能性がある。ADL動作も麻痺が原因となり介助が必要になっている可能性がある。感覚麻痺鈍麻より自身の体がどこにあるかわからず基本動作、ADLが介助が必要になっている可能性がある。寝返り・起き上がりは自立しており、立ち上がりは手すりがあれば可能である。次にトランスファーについては手すりがあれば車椅子からベッドへ移ることは可能だがベッドから車椅子は介助・監視が必要である。基本動作の段階としてできない段階がトランスファーであり、トランスファーができればトイレ動作が可能になる。
B,本症例は、5週間前に左中大脳動脈梗塞を発症した患者である。主訴が、「手足が動きにくく、歩けない。」というものである。他部門からの情報にあるように、この患者は現在上肢の麻痺が重篤であり、下肢の筋緊張が高いことがわかる。これは、BRSTの上肢Ⅱ、手指Ⅱ、下肢Ⅲ、Ashwarthスケールが上下肢ともに2という結果からも判断できる。それに加えて、OTからの情報により、上肢すでに廃用手であると思われる。感覚に関しては、上下肢、体幹の深部、表在感覚がともに鈍麻レベルという結果が出ている。これらのことにより、本症例の問題点は1.身体の片側の筋緊張（b7352）、2.触知覚（b1564）であると考えられる。活動に関しては、立ち上がり、車椅子→ベッドのトランスファーは手すりがあれば可能であるが、ベッド→車椅子は介助・監視レベルで、トイレ動作におけるトランスファーは半介助である。このことから、活動における問題点は、3.乗り移り（d4200）だとかんがえられる。1.は、BRST下肢Ⅲが原因で起こっていると考えられ、筋緊張が高いことにより、多くの動作が制限されていると考えられる。
C, 本症例は左中大脳動脈梗塞であり、主訴は「手足の動きにくさである」。OTからの情報より、上肢の動作制限の原因は廃用手であることから、この統合解釈は下肢の動きにくさについて行う。 BRSTは下肢Ⅲであることから協同運動が起こる。腱反射は右下肢3＋であることから著名な亢進が起こっており、アシュワスより下肢2であることから筋緊張は亢進状態でこのことから錐体路症状がある。よって心身機能の問題点として(1)と(3)を選択する。 活動より移動は自操であるが困難であり、トランスファーは手すりがあれば可能、介助・監視レベルである。またトイレへのトランスファーは半介助である。よって問題点として活動の(1)を選択する。 本症例の下肢の動きにくさの問題店として運動麻痺による協同運動があることと述べた。文献（４）（６）より中大脳動脈梗塞により、被殻が障害されているため運動麻痺が考えられる。また錐体路症状は文献（７）より深部腱反射、アシュワスより筋緊張が亢進する。本症例はトランスファーに問題点があり、行えない理由として立ち上がりを自立出来ていないことである。協同運動が起こることそして手すりを使用しないと立ち上がりが出来ないことから、臀部の挙上が行えないと考えられる。また筋緊張を亢進が起こることにより、足関節伸展モーメントで腓腹筋の緊張が高まり、膝関節伸展位になりやすく、協同運動を起こることで行えない。文献(１２）（１４）より立ち上がりにアプローチすることで下肢の筋活動を促し立位の自立を行わせ、下肢筋力を増大させ身体機能の改善をはかる。
B,本症例は75歳の女性の方で左中大脳動脈梗塞である。合併症に高血圧があり、現在は投薬によりコントロールされているが、副作用などの把握のため商品名など調べる必要がある。また患者さんは肥満傾向にあるため頻繁に血圧測定をする必要もあると考える。主訴は「手足が動きにくく、歩けない」ということである。まず始めに動作について問題点を挙げて行こうと思う。トランスファーについて考えてあく。本症例では手すりがあれば車椅子からベッドは可能であり、ベッドから車椅子は介助・監視レベルである。このトランスファーに違いがあるのは、高さの問題があると考える。通常であればベッドよりも車椅子の方が座面は低い。この患者さんの場合は 高い位置から低い位置に移動する場合に介助が必要となる。これらの原因を検査、測定結果から考えていくと運動麻痺、筋緊張の亢進、すいたいろ症状、感覚障害が挙げられる。ブルンストロームは下肢がⅢであるため、共同運動が出ている可能性がある。しかし、車椅子からベッドに移乗の場合は介助は不要である。そのため高い位置から手をついたときに力が入りにくいのではないかと考えて、また上肢の感覚障害も関与していると考える。このことからトランスファーの獲得をするため、上肢の筋力増強、感覚障害の緩和、筋緊張の緩和が必要となると考える。